aX,aY,aZ,gX,gY,gZ
0.01,0.01,0.96,-0.43,2.01,0.79
-0.03,-0.01,0.98,-0.37,2.14,0.61
0.07,0.01,0.96,-0.49,2.08,0.67
-0.05,-0.01,0.97,-0.43,2.08,0.61
0.00,0.03,0.96,-0.49,2.14,0.79
-0.05,-0.01,0.97,-0.49,2.08,0.61
-0.02,-0.01,0.98,-0.31,2.14,0.61
0.07,0.01,0.96,-0.37,2.20,0.73
-0.03,0.00,0.97,-0.37,1.89,0.61
0.03,0.00,0.97,-0.55,2.01,0.73
-0.06,0.02,0.97,-0.43,2.20,0.73
-0.04,-0.02,0.98,-0.31,2.08,0.73
-0.06,-0.02,0.98,-0.24,2.01,0.67
-0.06,-0.02,0.98,-0.31,2.14,0.43
-0.04,-0.02,0.98,-0.37,2.01,0.85
-0.01,-0.01,0.98,-0.31,2.01,0.61
0.01,0.00,0.96,-0.37,2.01,0.85
-0.03,-0.01,0.97,-0.18,2.08,0.61
-0.05,-0.03,0.98,-0.31,1.95,0.67
0.01,-0.00,0.97,-0.31,2.08,0.55
0.00,0.00,0.97,-0.43,2.08,0.73
0.00,0.00,0.97,-0.43,2.14,0.61
0.00,0.03,0.97,-0.37,2.01,0.67
0.00,-0.00,0.97,-0.31,1.89,0.61
0.00,0.00,0.97,-0.31,1.95,0.61
0.00,-0.00,0.97,-0.43,2.14,0.61
0.00,0.00,0.97,-0.49,2.01,0.49
